location,incident,date
sumenep,590,2 Mar 15
pacitan,573,24 Mar 15
kediri,383,10 Mar 15
jakarta selatan,343,13 Mar 15
bantul,332,24 Mar 15
pekanbaru,308,3 Mar 15
jakarta timur,228,20 Mar 15
subang,200,1 Mar 15
surabaya,178,31 Mar 15
klaten,172,24 Mar 15
sleman,161,16 Mar 15
jakarta barat,111,7 Mar 15
lebak,82,30 Mar 15
tanggamus,37,1 Mar 15
blitar,28,24 Mar 15
bekasi,25,15 Mar 15
samarinda,22,5 Mar 15
pelalawan,16,22 Mar 15
baubau,13,28 Mar 15
rembang,10,17 Mar 15
brebes,7,2 Mar 15
garut,7,22 Mar 15
malang,5,31 Mar 15
sukabumi,4,22 Mar 15
cirebon,4,1 Mar 15
sumedang,4,10 Mar 15
wonogiri,4,5 Mar 15
cilegon,3,25 Mar 15
bojonegoro,2,4 Mar 15
pasuruan,2,20 Mar 15
purwakarta,2,17 Mar 15
bandung,1,27 Mar 15
